Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo,Voltage(mV),Ferri-Solo
121.262,2.107,-78.649,-1.199,-278.526,-0.76
122.268,2.105,-77.584,-1.191,-277.423,-0.76
123.275,2.103,-76.609,-1.178,-276.431,-0.759
124.27,2.102,-75.64,-1.162,-275.413,-0.759
125.269,2.101,-74.646,-1.143,-274.465,-0.758
126.29,2.1,-73.618,-1.131,-273.441,-0.757
127.278,2.1,-72.63,-1.111,-272.411,-0.756
128.288,2.098,-71.6,-1.102,-271.383,-0.758
129.299,2.095,-70.637,-1.079,-270.497,-0.754
130.271,2.095,-69.602,-1.066,-269.385,-0.755
131.266,2.094,-68.614,-1.046,-268.425,-0.755
132.266,2.092,-67.601,-1.033,-267.489,-0.754
133.26,2.092,-66.618,-1.009,-266.497,-0.752
134.268,2.09,-65.589,-0.996,-265.422,-0.753
135.251,2.089,-64.606,-0.976,-264.448,-0.751
136.261,2.089,-63.602,-0.965,-263.416,-0.752
137.265,2.088,-62.666,-0.934,-262.494,-0.749
138.257,2.087,-61.624,-0.92,-261.442,-0.749
139.266,2.085,-60.625,-0.9,-260.475,-0.748
140.262,2.085,-59.634,-0.88,-259.448,-0.748
141.278,2.083,-58.636,-0.856,-258.485,-0.747
142.266,2.082,-57.614,-0.842,-257.465,-0.747
143.246,2.082,-56.644,-0.814,-256.484,-0.746
144.24,2.081,-55.623,-0.801,-255.497,-0.747
145.258,2.08,-54.658,-0.769,-254.658,-0.743
146.244,2.079,-53.628,-0.753,-253.508,-0.743
147.248,2.078,-52.634,-0.729,-252.497,-0.743
148.255,2.078,-51.636,-0.712,-251.495,-0.742
149.258,2.077,-50.661,-0.687,-250.491,-0.741
150.261,2.076,-49.674,-0.661,-249.442,-0.741
151.252,2.075,-48.67,-0.633,-248.495,-0.739
152.265,2.075,-47.641,-0.619,-247.449,-0.74
153.274,2.073,-46.679,-0.58,-246.5,-0.738
154.272,2.072,-45.629,-0.564,-245.428,-0.738
155.27,2.071,-44.632,-0.543,-244.448,-0.737
156.26,2.07,-43.652,-0.515,-243.441,-0.738
157.246,2.071,-42.642,-0.483,-242.508,-0.736
158.266,2.069,-41.61,-0.467,-241.512,-0.735
159.245,2.069,-40.633,-0.435,-240.485,-0.734
160.241,2.069,-39.614,-0.419,-239.438,-0.735
161.269,2.068,-38.648,-0.385,-238.538,-0.732
162.249,2.067,-37.628,-0.368,-237.422,-0.733
163.241,2.067,-36.659,-0.334,-236.453,-0.732
164.251,2.067,-35.648,-0.313,-235.501,-0.731
165.248,2.066,-34.656,-0.28,-234.497,-0.73
166.261,2.065,-33.63,-0.259,-233.448,-0.73
167.255,2.063,-32.643,-0.228,-232.484,-0.729
168.237,2.064,-31.633,-0.214,-231.462,-0.73
169.24,2.063,-30.68,-0.169,-230.547,-0.727
170.221,2.062,-29.626,-0.151,-229.507,-0.728
171.231,2.062,-28.635,-0.125,-228.569,-0.726
