voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
498.116,20.563,298.149,11.73,98.28,-12.822
499.152,20.567,299.171,11.988,99.273,-12.81
500.233,20.428,300.154,12.321,100.279,-12.796
499.347,20.377,301.193,12.597,101.283,-12.782
498.287,20.352,302.213,12.805,102.295,-12.77
497.401,20.304,303.185,13.061,103.285,-12.757
496.274,20.285,304.176,13.4,104.28,-12.742
495.29,20.263,305.249,13.548,105.268,-12.729
494.352,20.235,306.207,13.839,106.268,-12.713
493.352,20.207,307.241,14.113,107.274,-12.7
492.291,20.189,308.295,14.261,108.266,-12.686
491.321,20.168,309.259,14.433,109.27,-12.669
490.298,20.159,310.217,14.65,110.285,-12.657
489.399,20.137,311.203,14.839,111.269,-12.642
488.37,20.127,312.179,15.092,112.266,-12.626
487.425,20.102,313.213,15.235,113.273,-12.61
486.366,20.087,314.188,15.449,114.271,-12.594
485.362,20.069,315.202,15.575,115.279,-12.58
484.339,20.052,316.163,15.786,116.265,-12.566
483.302,20.038,317.179,15.954,117.241,-12.548
482.287,20.034,318.185,16.094,118.244,-12.532
481.43,19.997,319.171,16.249,119.237,-12.515
480.291,19.986,320.172,16.512,120.239,-12.497
479.279,19.971,321.273,16.486,121.244,-12.48
478.307,19.954,322.158,16.658,122.244,-12.462
477.319,19.934,323.144,16.806,123.25,-12.444
476.302,19.924,324.146,16.943,124.245,-12.425
475.374,19.901,325.153,17.057,125.243,-12.407
474.367,19.888,326.137,17.205,126.253,-12.389
473.401,19.862,327.163,17.297,127.248,-12.369
472.313,19.851,328.149,17.445,128.246,-12.348
471.327,19.832,329.189,17.491,129.264,-12.332
470.307,19.823,330.139,17.63,130.241,-12.312
469.371,19.807,331.166,17.706,131.226,-12.289
468.394,19.787,332.161,17.845,132.233,-12.269
467.345,19.772,333.213,17.91,133.227,-12.245
466.322,19.771,334.213,17.952,134.235,-12.225
465.454,19.742,335.17,18.024,135.233,-12.203
464.359,19.739,336.134,18.168,136.233,-12.18
