Voltaje(V),50 Hz 100mV,50 Hz 150 mv,100 Hz 100 mV,100 Hz 150 mV,100 Hz 200 mV
3.82282E-01,3.05009E-04,4.77017E-04,3.50513E-04,5.33430E-04,3.19365E-04
3.84287E-01,3.05264E-04,4.77118E-04,3.49832E-04,5.34341E-04,3.19478E-04
3.86275E-01,3.05317E-04,4.77258E-04,3.50783E-04,5.33530E-04,3.19874E-04
3.88287E-01,3.05307E-04,4.77856E-04,3.50137E-04,5.34423E-04,3.19862E-04
3.90280E-01,3.05485E-04,4.78489E-04,3.51113E-04,5.33707E-04,3.19707E-04
3.92277E-01,3.05784E-04,4.78694E-04,3.50390E-04,5.34787E-04,3.19881E-04
3.94286E-01,3.05958E-04,4.78778E-04,3.51310E-04,5.34250E-04,3.20305E-04
3.96292E-01,3.05954E-04,4.79246E-04,3.50623E-04,5.35429E-04,3.20323E-04
3.98279E-01,3.06012E-04,4.79945E-04,3.51575E-04,5.34825E-04,3.20057E-04
4.00273E-01,3.06287E-04,4.80339E-04,3.50870E-04,5.35801E-04,3.20243E-04
4.02279E-01,3.06562E-04,4.80423E-04,3.51845E-04,5.35015E-04,3.20591E-04
4.04286E-01,3.06639E-04,4.80756E-04,3.51201E-04,5.35920E-04,3.20584E-04
4.06276E-01,3.06640E-04,4.81434E-04,3.52149E-04,5.35158E-04,3.20305E-04
4.08275E-01,3.06901E-04,4.81981E-04,3.51473E-04,5.36213E-04,3.20417E-04
4.10292E-01,3.07230E-04,4.82139E-04,3.52428E-04,5.35647E-04,3.20730E-04
4.12295E-01,3.07324E-04,4.82410E-04,3.51735E-04,5.36838E-04,3.20664E-04
4.14306E-01,3.07328E-04,4.82972E-04,3.52710E-04,5.36271E-04,3.20376E-04
4.16299E-01,3.07512E-04,4.83633E-04,3.52027E-04,5.37420E-04,3.20504E-04
4.18299E-01,3.07840E-04,4.83932E-04,3.53004E-04,5.36678E-04,3.20854E-04
4.20291E-01,3.08072E-04,4.84150E-04,3.52313E-04,5.37698E-04,3.20846E-04
4.22299E-01,3.08088E-04,4.84665E-04,3.53305E-04,5.36966E-04,3.20626E-04
4.24288E-01,3.08164E-04,4.85282E-04,3.52619E-04,5.37975E-04,3.20795E-04
4.26310E-01,3.08501E-04,4.85705E-04,3.53639E-04,5.37301E-04,3.21239E-04
4.28306E-01,3.08825E-04,4.85966E-04,3.52976E-04,5.38444E-04,3.21265E-04
4.30302E-01,3.08883E-04,4.86412E-04,3.53962E-04,5.37931E-04,3.21085E-04
4.32306E-01,3.08907E-04,4.87000E-04,3.53272E-04,5.39194E-04,3.21285E-04
4.34306E-01,3.09172E-04,4.87441E-04,3.54256E-04,5.38535E-04,3.21699E-04
4.36313E-01,3.09542E-04,4.87821E-04,3.53575E-04,5.39617E-04,3.21721E-04
4.38313E-01,3.09714E-04,4.88195E-04,3.54551E-04,5.38730E-04,3.21490E-04
4.40311E-01,3.09708E-04,4.88709E-04,3.53905E-04,5.39702E-04,3.21633E-04
4.42318E-01,3.09890E-04,4.89260E-04,3.54946E-04,5.39083E-04,3.22009E-04
4.44310E-01,3.10242E-04,4.89667E-04,3.54276E-04,5.40304E-04,3.21960E-04
4.46308E-01,3.10503E-04,4.90054E-04,3.55328E-04,5.39905E-04,3.21688E-04
4.48317E-01,3.10564E-04,4.90547E-04,3.54651E-04,5.41169E-04,3.21814E-04
4.50306E-01,3.10670E-04,4.91070E-04,3.55681E-04,5.40512E-04,3.22162E-04
4.52326E-01,3.10982E-04,4.91559E-04,3.54986E-04,5.41558E-04,3.22146E-04
4.54324E-01,3.11298E-04,4.92013E-04,3.55988E-04,5.40783E-04,3.21932E-04
4.56320E-01,3.11424E-04,4.92413E-04,3.55336E-04,5.41881E-04,3.22100E-04
4.58319E-01,3.11447E-04,4.92883E-04,3.56376E-04,5.41279E-04,3.22485E-04
4.60322E-01,3.11710E-04,4.93455E-04,3.55735E-04,5.42543E-04,3.22520E-04
4.62316E-01,3.12079E-04,4.93940E-04,3.56807E-04,5.41952E-04,3.22320E-04
4.64337E-01,3.12263E-04,4.94336E-04,3.56142E-04,5.43188E-04,3.22564E-04
4.66323E-01,3.12300E-04,4.94757E-04,3.57195E-04,5.42530E-04,3.23008E-04
4.68327E-01,3.12494E-04,4.95333E-04,3.56549E-04,5.43647E-04,3.23081E-04
