tiempo (min),3er armonico
1456.175129,-23.66305715
1457.336291,-24.37042926
1458.487269,-23.96873274
1459.632947,-23.49004582
1460.778198,-23.89519677
1461.938116,-24.05816604
1463.090957,-23.53038248
1464.238306,-23.90600721
1465.389017,-23.27660488
1466.551088,-23.78318994
1467.699352,-23.70289993
1468.849558,-23.26716552
1469.998738,-23.32134005
1471.141808,-23.95414369
1472.293647,-23.65557637
1473.445587,-23.49477245
1474.600581,-23.78031632
1475.742786,-23.45028359
1476.887851,-23.97652366
1478.042161,-24.01066374
1479.191312,-23.54696546
1480.339973,-23.29036021
1481.487814,-24.14250403
1482.634354,-23.97764256
1483.783324,-23.4942362
1484.930783,-23.44123408
1486.072151,-23.56421883
1487.225291,-23.09242974
1488.3726,-23.43808455
1489.526764,-23.97867148
1490.679871,-23.32083446
1491.827824,-23.95824237
1492.982481,-23.6173964
1494.132834,-23.45788069
1495.286905,-24.05438542
1496.438725,-23.54178636
1497.581253,-23.26326322
1498.723571,-24.39710613
1499.868704,-23.33166745
1501.02976,-23.7599574
1502.178869,-23.61630124
1503.325958,-23.86024141
1504.481853,-23.82458412
1505.629307,-23.21830259
1506.772934,-23.45716998
1507.928994,-24.07755108
1509.080862,-23.57596282
1510.241066,-23.44669184
1511.385087,-23.85716675
1512.532891,-24.45135415
1513.680804,-23.69145632
1514.827434,-23.18000647
1515.979812,-23.29421688
1517.127368,-23.3361557
1518.285893,-23.51303875
1519.443455,-23.69178847
1520.590712,-23.46719291
1521.737569,-23.57290778
1522.892445,-23.11773676
1524.038751,-23.28938652
1525.194693,-23.40387896
1526.346398,-23.76912001
1527.507785,-23.47798815
1528.655041,-23.60660436
1529.802442,-22.96346441
1530.946406,-23.99973389
1532.092208,-23.14433789
1533.244388,-23.91757831
1534.391961,-23.57587846
1535.539375,-23.04973964
1536.677608,-23.28697133
1537.779872,-23.33621086
1538.868379,-23.23926047
1540.009391,-23.36516332
1541.160294,-23.59629209
1542.31436,-23.31920259
1543.460516,-23.39408388
1544.603079,-23.4222365
1545.756313,-23.27551746
1546.90796,-23.17397288
1548.056806,-23.01129117
1549.211277,-23.69845504
1550.357138,-23.36607874
1551.505338,-23.59846138
1552.650888,-23.35805149
1553.801641,-23.85762171
1554.951631,-23.19514914
1556.095475,-23.64541471
1557.251107,-23.7425424
1558.399575,-22.88460739
1559.550097,-23.64115272
1560.70588,-23.93488134
1561.846313,-23.8462186
1562.999692,-23.94853312
1564.151458,-23.77960264
1565.313677,-23.50039987
1566.464765,-23.79598389
1567.618463,-23.28383941
1568.768168,-22.91705644
1569.922473,-23.69470714
1571.068993,-23.22442372
1572.210983,-23.79247045
1573.350745,-23.21632436
1574.503398,-23.30108322
1575.657202,-23.56251769
1576.815675,-23.64215072
1577.962091,-23.4981077
1579.111426,-23.26329716
1580.264835,-23.58931445
1581.404146,-23.1208565
1582.563784,-23.61170459
1583.712033,-23.72139044
1584.861994,-23.88805354
1586.011062,-24.19975858
1587.161193,-23.55199602
1588.316595,-23.49860397
1589.463804,-23.80436953
1590.610513,-23.73787219
1591.753329,-23.12790559
1592.894445,-23.17311061
1594.043124,-22.95672084
1595.195848,-23.75451356
1596.34579,-23.52682907
1597.492177,-23.32849269
1598.63642,-24.15517076
1599.778394,-22.89688144
1600.930433,-23.32779559
1602.073328,-23.80526735
1603.217423,-23.24453372
1604.373266,-23.12910537
1605.520799,-23.16499288
1606.67755,-24.00899102
1607.822726,-23.41469322
1608.975593,-23.76309552
1610.109606,-23.78069708
1611.24647,-24.10558825
1612.389255,-23.59516141
1613.539308,-23.46638479
1614.685339,-23.67248433
1615.830667,-23.29331364
1616.98725,-23.42636846
1618.13369,-23.31779022
1619.283375,-23.57352159
1620.437842,-23.2528363
1621.58438,-23.17459779
1622.738911,-23.25767095
1623.890278,-23.81085149
1625.047307,-23.33485777
1626.192886,-23.68953098
1627.33379,-23.36903098
1628.489379,-23.35271041
1629.631359,-23.25414198
1630.784885,-23.50700415
1631.935508,-23.10550872
1633.090734,-23.52318169
1634.237648,-23.5800956
1635.381423,-23.17916097
1636.524387,-23.79223648
1637.665398,-22.79906627
1638.805115,-23.25602382
1639.960717,-23.1962508
1641.115048,-23.53685598
1642.268614,-23.48875274
1643.414716,-23.52936972
1644.561937,-23.33013457
1645.70165,-23.81534555
1646.850084,-22.99101778
1648.001334,-23.25797164
1649.145263,-23.09058463
1650.291343,-23.5054301
1651.442179,-23.44839917
1652.58138,-23.78103999
1653.726242,-22.74411172
1654.874561,-23.81013085
1656.018004,-23.246551
1657.164376,-23.0234564
1658.317784,-23.15820224
1659.462184,-22.95417403
1660.608405,-23.1768818
1661.754357,-24.13679522
1662.904622,-22.94667481
1664.058988,-23.8943057
1665.195888,-23.0773722
1666.340365,-23.92227929
1667.492394,-23.6555652
1668.640169,-22.85648606
1669.792464,-22.79012784
1670.939417,-23.67236417
1672.082921,-23.34816912
1673.223328,-23.13276953
1674.377115,-22.61899785
1675.518598,-23.35389184
1676.66527,-23.85894731
1677.812641,-23.53431045
1678.961273,-23.57926885
1680.11715,-23.46599159
1681.266017,-23.67405676
1682.422748,-23.1911687
1683.568309,-22.91669579
1684.72037,-23.91693272
1685.87165,-23.62979684
1687.013376,-22.98083193
1688.157805,-23.44455976
1689.312653,-23.7243612
1690.463384,-23.57463289
1691.618468,-23.37920407
1692.770071,-22.99749855
1693.921526,-23.42125003
1695.064441,-23.44275825
1696.219532,-23.5007725
1697.362661,-23.63424119
1698.508502,-23.31484001
1699.647384,-23.60990218
1700.803017,-22.83786784
1701.951171,-23.7714705
1703.100351,-23.23611596
1704.25955,-23.62810676
1705.409174,-23.51729648
1706.552413,-23.95842156
1707.708115,-23.66422151
1708.856955,-22.69348963
1710.012438,-23.40792807
1711.160117,-23.13317055
1712.302764,-23.42837513
1713.45452,-23.3293694
1714.596145,-23.5069199
1715.737281,-23.24792524
1716.886813,-23.40115488
1718.034651,-23.35652075
1719.188493,-23.43041308
1720.334843,-23.80623096
1721.471308,-22.74844567
1722.619813,-23.30449058
1723.77219,-23.4419856
1724.917529,-23.12564137
1726.07435,-23.16600781
1727.21998,-23.47630683
1728.362249,-23.82480203
1729.510759,-23.84511831
1730.652289,-23.41292958
1731.798437,-23.63100554
1732.941859,-23.31982208
1734.086347,-23.21749477
1735.2254,-23.59594731
1736.380898,-23.45264343
1737.524765,-23.67981647
