voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
370.087,3.966,170.194,-7.243,-29.621,-20.207
371.116,3.966,171.193,-7.194,-28.632,-20.199
372.164,3.962,172.196,-7.136,-27.642,-20.196
373.134,3.959,173.205,-7.078,-26.65,-20.189
374.084,3.96,174.219,-7.032,-25.634,-20.186
375.083,3.959,175.204,-6.977,-24.662,-20.176
376.061,3.96,176.199,-6.912,-23.665,-20.173
377.123,3.957,177.219,-6.854,-22.684,-20.164
378.091,3.957,178.217,-6.783,-21.649,-20.166
379.117,3.955,179.223,-6.714,-20.657,-20.159
380.088,3.955,180.244,-6.659,-19.652,-20.157
381.121,3.954,181.219,-6.595,-18.667,-20.15
382.131,3.952,182.205,-6.527,-17.648,-20.148
383.127,3.951,183.194,-6.451,-16.654,-20.145
384.137,3.954,184.198,-6.37,-15.641,-20.143
385.279,3.944,185.215,-6.306,-14.677,-20.131
386.136,3.947,186.195,-6.221,-13.64,-20.129
387.116,3.948,187.205,-6.145,-12.649,-20.126
388.126,3.945,188.197,-6.06,-11.664,-20.121
389.13,3.943,189.201,-5.975,-10.681,-20.115
390.104,3.945,190.216,-5.889,-9.662,-20.112
391.135,3.941,191.21,-5.804,-8.676,-20.105
392.113,3.94,192.208,-5.693,-7.658,-20.104
393.149,3.938,193.259,-5.642,-6.681,-20.097
394.095,3.941,194.198,-5.535,-5.662,-20.094
395.126,3.939,195.193,-5.431,-4.666,-20.09
396.12,3.941,196.19,-5.321,-3.668,-20.086
397.183,3.938,197.206,-5.214,-2.671,-20.077
398.19,3.935,198.206,-5.106,-1.649,-20.072
399.134,3.935,199.214,-5.007,-0.665,-20.071
400.097,3.938,200.217,-4.895,0.334,-20.069
401.202,3.932,201.226,-4.795,1.3,-20.059
402.106,3.935,202.21,-4.656,2.316,-20.057
403.141,3.934,203.234,-4.54,3.313,-20.05
404.187,3.932,204.239,-4.402,4.312,-20.045
405.193,3.93,205.256,-4.29,5.313,-20.039
406.16,3.931,206.257,-4.19,6.339,-20.04
407.183,3.929,207.221,-4.06,7.319,-20.034
408.181,3.932,208.202,-3.908,8.339,-20.033
409.272,3.928,209.225,-3.82,9.322,-20.027
410.259,3.928,210.197,-3.676,10.347,-20.021
411.28,3.924,211.192,-3.515,11.343,-20.017
412.207,3.926,212.213,-3.382,12.339,-20.017
413.207,3.925,213.207,-3.246,13.326,-20.008
414.187,3.924,214.194,-3.092,14.315,-20
415.151,3.923,215.193,-2.945,15.319,-19.995
416.132,3.928,216.187,-2.777,16.326,-19.994
417.259,3.919,217.208,-2.641,17.305,-19.985
418.121,3.921,218.21,-2.493,18.337,-19.986
419.12,3.921,219.196,-2.381,19.328,-19.979
420.133,3.921,220.171,-2.224,20.324,-19.971
421.145,3.92,221.163,-2.054,21.334,-19.968
422.132,3.921,222.176,-1.907,22.348,-19.967
423.176,3.917,223.165,-1.757,23.332,-19.96
424.12,3.917,224.148,-1.549,24.345,-19.958
425.14,3.915,225.202,-1.459,25.32,-19.949
426.064,3.917,226.159,-1.275,26.339,-19.948
427.082,3.915,227.158,-1.091,27.313,-19.942
428.054,3.915,228.174,-0.92,28.319,-19.938
429.103,3.914,229.185,-0.758,29.313,-19.933
430.124,3.912,230.187,-0.572,30.336,-19.93
431.073,3.911,231.214,-0.473,31.331,-19.927
432.052,3.915,232.172,-0.275,32.332,-19.923
433.167,3.909,233.186,-0.162,33.316,-19.912
434.076,3.912,234.152,0.026,34.344,-19.912
435.123,3.911,235.151,0.182,35.342,-19.907
436.186,3.909,236.141,0.376,36.333,-19.906
437.148,3.908,237.16,0.542,37.339,-19.898
438.081,3.908,238.174,0.66,38.349,-19.895
439.071,3.906,239.144,0.831,39.335,-19.891
440.035,3.908,240.131,1.063,40.321,-19.887
441.098,3.905,241.181,1.152,41.308,-19.879
442.049,3.907,242.141,1.341,42.332,-19.875
443.076,3.904,243.155,1.528,43.324,-19.867
444.026,3.905,244.189,1.609,44.325,-19.863
445.049,3.903,245.157,1.744,45.316,-19.856
446.061,3.902,246.13,1.91,46.334,-19.854
447.046,3.902,247.13,2.054,47.324,-19.848
448.053,3.907,248.122,2.236,48.326,-19.845
449.214,3.896,249.154,2.334,49.304,-19.836
450.043,3.9,250.137,2.509,50.331,-19.837
451.031,3.899,251.162,2.619,51.323,-19.83
452.038,3.899,252.139,2.785,52.315,-19.829
453.048,3.898,253.155,2.92,53.295,-19.822
454.029,3.9,254.173,3.024,54.316,-19.82
455.073,3.897,255.165,3.156,55.305,-19.815
456.048,3.899,256.177,3.347,56.315,-19.812
457.106,3.894,257.255,3.317,57.305,-19.804
458.041,3.897,258.164,3.463,58.316,-19.801
459.089,3.896,259.147,3.599,59.32,-19.794
460.085,3.898,260.152,3.714,60.32,-19.791
461.16,3.896,261.154,3.794,61.316,-19.785
462.181,3.892,262.136,3.916,62.323,-19.781
463.105,3.893,263.147,3.987,63.317,-19.776
464.042,3.896,264.131,4.114,64.32,-19.776
465.146,3.888,265.157,4.166,65.309,-19.77
466.014,3.892,266.116,4.299,66.302,-19.767
467.026,3.892,267.138,4.361,67.3,-19.763
468.08,3.89,268.131,4.468,68.294,-19.759
469.061,3.888,269.16,4.518,69.296,-19.752
470.005,3.89,270.147,4.565,70.313,-19.751
471.022,3.887,271.113,4.639,71.296,-19.744
471.997,3.892,272.093,4.777,72.311,-19.744
473.088,3.889,273.147,4.778,73.305,-19.738
474.054,3.889,274.101,4.877,74.312,-19.734
475.069,3.886,275.108,4.949,75.312,-19.728
476.001,3.888,276.129,4.993,76.316,-19.724
477.01,3.887,277.132,5.027,77.311,-19.72
477.997,3.886,278.117,5.098,78.305,-19.717
478.966,3.885,279.123,5.145,79.293,-19.711
479.962,3.889,280.119,5.23,80.295,-19.705
481.123,3.881,281.17,5.242,81.288,-19.698
481.978,3.885,282.16,5.286,82.303,-19.697
482.983,3.885,283.167,5.292,83.298,-19.686
484.019,3.885,284.128,5.349,84.299,-19.684
485.052,3.883,285.127,5.383,85.295,-19.675
486.037,3.885,286.121,5.406,86.311,-19.674
487.113,3.881,287.109,5.437,87.3,-19.668
488.052,3.884,288.096,5.521,88.301,-19.663
489.089,3.879,289.177,5.469,89.301,-19.659
489.989,3.881,290.11,5.52,90.311,-19.657
491.006,3.879,291.101,5.561,91.292,-19.648
491.974,3.882,292.119,5.589,92.287,-19.643
493.027,3.88,293.127,5.602,93.284,-19.637
494.039,3.878,294.13,5.638,94.303,-19.632
494.978,3.876,295.166,5.625,95.283,-19.624
495.944,3.882,296.127,5.668,96.289,-19.618
497.086,3.875,297.145,5.648,97.286,-19.611
497.977,3.879,298.099,5.686,98.296,-19.604
499.021,3.88,299.115,5.692,99.293,-19.596
500.098,3.823,300.104,5.726,100.295,-19.592
499.141,3.816,301.136,5.739,101.299,-19.584
498.087,3.817,302.16,5.728,102.303,-19.578
497.203,3.805,303.133,5.741,103.3,-19.574
496.068,3.806,304.119,5.784,104.291,-19.567
495.091,3.804,305.196,5.747,105.281,-19.558
494.15,3.799,306.154,5.779,106.285,-19.553
493.149,3.794,307.189,5.794,107.283,-19.544
492.096,3.793,308.228,5.771,108.281,-19.536
491.119,3.788,309.197,5.765,109.278,-19.531
490.097,3.788,310.151,5.78,110.299,-19.529
489.197,3.782,311.15,5.779,111.281,-19.522
488.172,3.782,312.128,5.798,112.279,-19.516
487.225,3.776,313.16,5.78,113.288,-19.515
486.168,3.775,314.125,5.794,114.285,-19.511
485.167,3.771,315.145,5.778,115.282,-19.505
484.139,3.768,316.11,5.789,116.288,-19.5
483.105,3.766,317.118,5.795,117.27,-19.49
482.088,3.768,318.132,5.784,118.27,-19.483
481.237,3.757,319.112,5.787,119.265,-19.474
480.09,3.757,320.115,5.812,120.264,-19.468
479.086,3.756,321.217,5.755,121.26,-19.457
478.117,3.752,322.099,5.768,122.272,-19.449
477.121,3.749,323.085,5.769,123.277,-19.446
